ts,id,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14
2024-11-13 00:52:53.743680,295,2.64274279543342E-18,7.94406052794856E-18,0.132773825662533,1.75624898851889E-17,2.74602324116933E-17,2.22063780169405E-17,8.37745344338334E-03,2.73857475162284E-17,1.28240717222219E-17,3.66763074077288E-17,1.29954826176111E-03,1.38828400870129E-17,2.47517633353596E-17,1.4294045597717E-17,4.21983102910633E-04
2024-11-13 00:54:47.544825,296,2.16840434497101E-18,1.60208852744946E-17,0.132521964139857,1.22991877294969E-17,9.13920205861935E-18,1.9487068830423E-17,7.83965794356558E-03,4.65616559578702E-17,8.5293356629428E-18,4.80100690462294E-17,1.46716999711999E-03,4.9555983443043E-18,1.86221052228379E-17,1.16227806824815E-17,4.05770514808853E-04
2024-11-13 00:56:41.348008,297,4.47233396150271E-18,2.42231230039835E-17,0.132292085237906,2.26087636913535E-17,1.06762152565482E-17,1.88129309391896E-17,7.30416027059564E-03,3.38774881624498E-17,1.52890948817761E-17,5.55364310026691E-17,1.61577034542938E-03,1.40819115552436E-18,1.90630751969467E-17,8.67552961804751E-18,3.76196671660228E-04
2024-11-13 00:58:35.153483,298,6.23416249179165E-19,8.16412033235097E-18,0.132025868062224,8.13207519023996E-18,1.8465387808824E-17,2.87791181421656E-17,6.74618505650413E-03,3.5967443479897E-17,1.40421842809729E-17,4.16605766563134E-17,1.73835548004716E-03,6.03618788009656E-18,2.04434376806152E-17,1.31882923727881E-17,3.32946301839458E-04
2024-11-13 01:00:28.964031,299,1.0842021724855E-19,2.25838872324147E-17,0.13174646660116,3.16829072880294E-17,2.17239594978711E-17,1.31745566302196E-17,6.19521118852568E-03,2.84574977576656E-17,2.45197446339664E-17,3.16510062648917E-17,1.82842858018353E-03,2.74763176817556E-18,2.33648027333984E-17,1.24594510826992E-17,2.7415257178754E-04
2024-11-13 01:02:22.757235,300,1.2021091587433E-17,2.45472792267056E-17,0.131460343935172,1.88080944369727E-17,1.1360921419759E-17,9.98569939887079E-18,5.635697988271E-03,3.48167775253375E-17,1.41784769112849E-17,3.94249853019473E-17,1.89890877207348E-03,2.33200474628735E-18,1.57853852035625E-17,1.31643255168812E-17,2.10804439098624E-04
2024-11-13 01:04:16.555456,301,7.73849300611529E-18,2.23707580209534E-17,0.131160319664,5.77325518987699E-18,2.2437493781344E-17,1.5131809377742E-17,5.08357704557593E-03,2.3990715163629E-17,6.1151430046871E-18,4.26267044859488E-17,1.93306024715597E-03,2.20573768209071E-18,1.75944376571051E-17,1.58732698155377E-17,1.45009864845068E-04
2024-11-13 01:06:10.357644,302,1.8702487475375E-18,3.51891271158719E-17,0.130830804097973,1.26064008443036E-17,1.42795692115246E-17,1.81223888594362E-17,4.53696096616307E-03,2.9975329372112E-17,1.07100186743827E-17,3.51909740779281E-17,1.93097171158137E-03,8.7394497620298E-19,1.74779908193564E-17,1.50987285320685E-17,7.54332990523938E-05
2024-11-13 01:08:04.161768,303,6.05797963876276E-18,2.00327438467977E-17,0.130494961109006,6.9216173352407E-18,9.49448212625315E-18,5.20767725769943E-18,4.00811403272475E-03,3.2253880514164E-17,1.71450680894485E-17,3.91593625832784E-17,1.88502773332583E-03,3.67514242687938E-18,1.22638269163215E-17,1.53162978274196E-17,4.0635930264902E-06
2024-11-13 01:09:57.968007,304,6.16639985601131E-18,1.88973197659182E-17,0.130145829789549,2.41864018153091E-17,2.00102051268629E-17,8.83403456179698E-18,3.48027099745687E-03,2.22141497084929E-17,1.55344521393632E-17,4.824238688568E-17,1.80785254362908E-03,9.70014958124372E-18,1.91605636202146E-17,1.35671460028416E-17,6.98935803290945E-05
2024-11-13 01:11:51.752753,305,1.9109063290057E-18,2.40448848226765E-17,0.129778047233062,5.63670218229261E-18,1.5942408250806E-17,3.20630504445293E-17,2.95851166772508E-03,4.03043620507809E-17,1.65619909396429E-17,4.88240643277277E-17,1.70380086337188E-03,2.13922477588309E-18,1.74623570506945E-17,8.53938840704758E-18,1.33681682392456E-04
2024-11-13 01:13:45.560520,306,7.23704950134074E-18,1.70446191071407E-17,0.129403816008287,9.23559786539995E-18,1.75562540350816E-17,2.25941253615093E-17,2.48428096047272E-03,2.92469870052472E-17,2.77496192546117E-18,4.84107607602036E-17,1.560631936248E-03,5.596117618575E-18,2.21047921335991E-17,8.19720697892032E-18,1.7438313350877E-04
2024-11-13 01:15:39.354269,307,7.48099499014998E-18,2.34904852539594E-17,0.128999285772362,1.1102554250149E-17,2.56378053231581E-17,2.12938849357112E-17,2.03881526658913E-03,3.98222612087856E-17,4.63631623531741E-18,4.45763845284929E-17,1.38814234206796E-03,7.98334230741194E-18,1.93710944828907E-17,1.76389370373557E-17,1.95718867126338E-04
